lr,reg,dropout,init_k,ndim,nlayer,time,accuracy_mean,accuracy_std
0.003431620007060692,0.001153344871039695,0.15000000000000002,32,256,4,45.09677052497864,0.4063333471616109,0.007760295196197995
0.0003542371804965989,3.521496648273079e-05,0.1,4,64,4,147.8292031288147,0.3543333411216736,0.04149163918681717
0.04863043618416018,1.9771676612284807e-05,0.15000000000000002,16,256,1,35.09188985824585,0.48466668526331586,0.04360682868031543
0.5967933931607599,0.0237189080803355,0.4,4,128,6,90.79650568962097,0.4100000262260437,0.007874012476449877
0.05183029374325487,0.11100155786790854,0.45,4,64,6,46.917234897613525,0.4036666850248973,0.011728408673802336
0.0001968359290658289,4.518038760785271e-05,0.25,8,64,6,61.586172103881836,0.3476666907469432,0.013474252120311656
0.19464302630961142,0.0002007085187211179,0.2,16,128,1,41.543574810028076,0.4566666881243388,0.004642800508701088
0.118849207297667,1.1350100312192077e-05,0.25,8,64,3,35.74716830253601,0.40433335304260254,0.005185453212840825
0.038858682660176475,0.11070478543051529,0.15000000000000002,16,256,6,78.98611307144165,0.40933334827423096,0.0032998453573119375
0.28017627237523196,0.0017414967671528167,0.1,4,256,6,163.41802668571472,0.4283333520094554,0.015542052699691366
0.7740088306076347,0.39757898569701783,0.1,4,64,4,47.81122016906738,0.406000018119812,0.000816486068858174
0.0038555873528298723,0.021147850053134635,0.30000000000000004,4,64,4,43.4927396774292,0.37900001804033917,0.01042432114444259
0.0008052568050918908,0.012694321022393264,0.2,8,64,6,84.25616526603699,0.3720000088214874,0.03556215663312897
0.9800913815975463,9.233547443436234e-05,0.4,32,256,2,35.512693881988525,0.4080000122388204,0.005354131418950141
0.05557516163010259,0.0003507339798239439,0.15000000000000002,32,64,3,39.39412760734558,0.40266668796539307,0.008013886069558412
0.004704032060402121,0.00019081443711581154,0.5,4,128,1,15.319677829742432,0.39333335558573407,0.011897724620353987
0.3560311845161072,0.0254605759713132,0.5,8,64,1,13.688613176345825,0.4150000214576721,0.005354129563545558
0.009896712179955067,0.02742966648954771,0.4,4,64,2,23.69728446006775,0.3726666768391927,0.0018856219044783916
0.0005869438976628821,0.0010405159264392132,0.15000000000000002,16,64,5,117.5789475440979,0.34033335248629254,0.015326084541664998
0.024011903165312508,0.14420441134871628,0.35000000000000003,32,128,3,28.716859817504883,0.39500002066294354,0.015748011074936688
0.08748512152470816,0.5352409778183435,0.25,16,64,4,38.698484659194946,0.3986666798591614,0.015584899269481214
0.07823250460855352,0.0001704486804565974,0.05,8,256,3,104.20317792892456,0.5350000262260437,0.010801224196486508
0.13967364924971795,0.6238206174979274,0.30000000000000004,8,256,6,67.579421043396,0.40900001923243207,0.0008164982356355571
0.041529534248300824,0.00032934580458308867,0.2,8,256,4,61.44073224067688,0.4190000196297963,0.013140261505583836
0.012014160875052924,7.960984859904373e-05,0.5,32,64,2,23.536948919296265,0.3616666893164317,0.029329550003319972
0.18778909889032386,0.004785669601395259,0.45,4,128,2,20.809269189834595,0.40966668725013733,0.0032998393363409028
0.0015437672905043631,4.552162522135997e-05,0.45,32,128,3,25.59412932395935,0.37966667612393695,0.02590151978529708
0.00019996576142684115,0.001526486102537734,0.2,16,256,5,127.25887084007263,0.3616666793823242,0.03206589880848308
0.24879491606053308,0.6938049630718734,0.05,16,128,4,54.935160398483276,0.428000013033549,0.018493248867557457
0.05969854770848264,0.06196863277944474,0.30000000000000004,4,256,2,26.904551029205322,0.4116666913032532,0.010530382119982647
0.8053618833235323,0.0008117283801921355,0.15000000000000002,16,64,1,20.066469430923462,0.43833335240681964,0.022881345724540817
0.1593451454597154,0.011505503233376835,0.45,16,256,4,49.844165086746216,0.4116666813691457,0.007318170104387628
0.15566438792228934,0.010393241244921438,0.05,4,256,1,22.713136196136475,0.4520000219345093,0.060833122975062465
0.49079374635418666,0.10268396895037483,0.35000000000000003,32,64,1,14.88027811050415,0.42033334573109943,0.003681788171342217
0.12490770187816125,0.00018918527163264842,0.5,8,256,4,48.7633900642395,0.40900001923243207,0.0021602558759394623
0.0025341576584687604,0.0007802925572911203,0.05,8,64,3,39.01719045639038,0.399666686852773,0.01189771710572145
0.0003550428701974794,0.004745667169845502,0.35000000000000003,4,128,1,22.97350287437439,0.3460000157356262,0.01944222930582553
0.06272297621145492,0.1590921740350119,0.05,4,256,6,61.475342750549316,0.40700000524520874,0.0
