nepoch,nlayer,lr,reg,dropout,verbose,time,accuracy_mean,accuracy_std
300,3,8.202736831364756e-05,0.019123430382862003,0.2,False,551.467292547226,0.6935000121593475,0.0004999935626983643
300,2,0.0005074034127658662,0.0014944647388856727,0.30000000000000004,False,366.3736023902893,0.7120000123977661,0.009000003337860107
300,5,0.00835859720546545,0.00529170943549101,0.6000000000000001,False,864.3276789188385,0.37450002133846283,0.03350000083446503
300,1,1.8579878068121305e-05,0.00933077105237703,0.5,False,191.65818619728088,0.24100001901388168,0.012000001966953278
300,4,1.555411959385161e-05,0.007535722272405212,0.1,False,711.5523109436035,0.3695000261068344,0.0034999996423721313
300,5,0.005239881917371184,0.2611284233237258,0.4,False,881.6455471515656,0.47450003027915955,0.036500006914138794
300,5,1.1457224213013311e-05,0.04215350954828756,0.4,False,878.6220510005951,0.19350001215934753,0.05950000882148743
300,2,0.0011903354416281935,0.07961740153706805,0.4,False,367.7203929424286,0.7710000276565552,0.008000016212463379
300,2,0.0027005273766579703,0.003184458177410041,0.6000000000000001,False,363.7395007610321,0.7825000584125519,0.004500001668930054
300,3,1.1797659446754306e-05,0.010641959551820328,0.1,False,539.277379989624,0.32500001043081284,0.10700000077486038
300,5,0.002733373530505973,0.0154650544644396,0.2,False,861.860805273056,0.7570000290870667,0.0
300,1,0.00010461090301181933,0.007471178113105553,0.5,False,189.18801164627075,0.6290000379085541,0.0029999911785125732
300,1,3.113543144051757e-05,0.00828270285776878,0.5,False,191.35741329193115,0.4455000162124634,0.007499992847442627
300,3,0.0005084698578865015,0.10658836264965013,0.30000000000000004,False,543.2402267456055,0.7835000455379486,0.004500001668930054
300,1,0.00024469657016147964,0.02733777623146538,0.6000000000000001,False,189.22952270507812,0.6940000355243683,0.0029999911785125732
300,1,0.001646632293594314,0.1356320750612333,0.1,False,193.01649045944214,0.7725000381469727,0.00550001859664917
300,2,0.0002039459762573245,0.26334253412389264,0.2,False,367.7503819465637,0.7325000464916229,0.005499988794326782
