nepcoh,nlayer,lr,reg,dropout,verbose,residual,time,mean,std
200,3,0.00246933,0.046756287,0.2,FALSE,TRUE,28.96451044,0.793500036,0.000499994
200,2,0.004108119,0.091911081,0.3,FALSE,TRUE,20.50252295,0.789000034,0.013000011
200,4,0.019851822,0.01115411,0.2,FALSE,TRUE,37.38601995,0.713000029,0.030000001
200,5,0.006882691,0.2741263,0.4,FALSE,TRUE,45.86154127,0.503000021,0.101000011
200,4,0.001837525,0.030002079,0.3,FALSE,TRUE,37.38409567,0.800000042,0.002000004
200,5,0.003665216,0.066251886,0.5,FALSE,TRUE,45.74543214,0.761500031,0.017500013
200,4,0.003010739,0.102592872,0.1,FALSE,TRUE,37.27949142,0.793000042,0.003000021
200,5,0.003319532,0.031255446,0.1,FALSE,TRUE,45.59585547,0.783500046,0.00850001
200,4,0.013880119,0.02983375,0.5,FALSE,TRUE,37.29224515,0.756000042,0.010999978
200,3,0.00210568,0.019188072,0.3,FALSE,TRUE,28.92329359,0.810000032,0.002999991
200,4,0.000861298,0.011515265,0.2,FALSE,TRUE,37.47531462,0.790500045,0.003499985
200,4,0.00559723,0.011835053,0.4,FALSE,TRUE,37.40130138,0.810500056,0.000499994
200,2,0.001024072,0.045574586,0.5,FALSE,TRUE,20.60184479,0.790500015,0.000499994
200,5,0.001052192,0.357943116,0.2,FALSE,TRUE,45.73680925,0.659500033,0.002500027
200,5,0.001237782,0.318785388,0.1,FALSE,TRUE,45.67049766,0.774000019,0.011000007
200,4,0.000944924,0.027210444,0.4,FALSE,TRUE,37.5199697,0.778500021,0.010500014
200,3,0.003132314,0.460371522,0.1,FALSE,TRUE,28.92378616,0.805000037,0.003999978
200,4,0.006709576,0.067388885,0.4,FALSE,TRUE,37.14869404,0.800000042,0.001000017
200,5,0.001409992,0.015053044,0.1,FALSE,TRUE,45.76088119,0.789000034,0.000999987
200,5,0.015905231,0.020143235,0.5,FALSE,TRUE,45.57610345,0.627500027,0.006499976
200,2,0.004455845,0.017094585,0.4,FALSE,TRUE,20.5327158,0.784000039,0.004999995
200,4,0.001696899,0.038548668,0.1,FALSE,TRUE,37.33194876,0.802500039,0.007500023
200,4,0.013962098,0.020807,0.1,FALSE,TRUE,37.19758248,0.794500053,0.006500006
200,3,0.003672984,0.035396026,0.4,FALSE,TRUE,28.86548305,0.802500039,0.002500027
200,4,0.000694817,0.040172897,0.4,FALSE,TRUE,37.45155692,0.775500029,0.032499999
200,5,0.000879591,0.017512442,0.1,FALSE,TRUE,45.71021914,0.79400003,0.004000008
200,4,0.015746049,0.244475115,0.1,FALSE,TRUE,37.15662336,0.763500035,0.003499985
200,2,0.013615106,0.344156638,0.4,FALSE,TRUE,20.44928908,0.773000032,0.017999977
200,3,0.003367415,0.027060659,0.2,FALSE,TRUE,28.90163755,0.798000038,0.003000021
200,4,0.003540242,0.127567778,0.4,FALSE,TRUE,37.26917553,0.799500018,0.00850001
200,4,0.019915106,0.184006872,0.2,FALSE,TRUE,37.26902866,0.708000034,0.01699999
200,2,0.001486125,0.067403144,0.5,FALSE,TRUE,20.65893936,0.789000034,0.004999995
200,4,0.001407862,0.028886909,0.3,FALSE,TRUE,37.72676396,0.786000043,0.015000015
200,4,0.006829468,0.104675534,0.4,FALSE,TRUE,37.36970687,0.796500027,0.002499998
200,5,0.003419846,0.347795891,0.4,FALSE,TRUE,45.66165352,0.534500033,0.114500016
200,2,0.001988623,0.036670308,0.5,FALSE,TRUE,20.5810833,0.799000055,0.002000004
