lr,reg,dropout,init_k,ndim,nlayer,time,accuracy_mean,accuracy_std
0.320386387,0.017755974,0.45,16,256,5,212.1573415,0.315999995,0.003559031
8.03E-05,9.73E-08,0.15,8,128,4,375.4061761,0.305999989,0.201772138
0.267641095,1.55E-06,0.2,32,64,4,60.25299287,0.291333328,0.032887005
0.187632504,0.001013313,0.5,4,64,5,115.7851639,0.283999999,0.010198032
0.411037472,8.34E-06,0.5,32,64,6,74.29685307,0.277666668,0.010338711
0.112636447,0.259140327,0.1,16,64,6,73.38042712,0.276333337,0.058931222
0.172861604,5.18E-06,0.15,16,64,5,42.50518441,0.276000003,0.02628054
0.22481337,0.074751017,0.35,16,128,4,91.13792825,0.273999999,0.022015145
5.59E-07,6.81E-05,0.15,16,64,1,18.06212592,0.265666659,0.036261396
0.269456067,3.95E-06,0.45,32,256,5,169.9113793,0.257666667,0.007586541
0.475031597,0.000158206,0.45,32,64,2,36.39964867,0.245999997,0.018239152
0.139365262,0.442223595,0.1,16,128,6,182.0940814,0.245333334,0.080747891
0.115757596,0.033888871,0.35,4,64,6,34.65793586,0.243666674,0.037853522
0.001794907,3.17E-06,0.35,4,64,6,107.1087005,0.234666665,0.071003919
0.160778487,0.34729002,0.45,16,128,4,80.24633479,0.227333337,0.059779228
0.169545675,0.516227119,0.4,32,256,6,166.8104801,0.227000003,0.01606238
0.075505608,0.717087597,0.25,8,64,6,84.20362782,0.220333333,0.016048538
7.41E-05,9.03E-06,0.15,4,128,5,61.77738595,0.21266667,0.053118318
8.17E-05,9.73E-05,0.4,16,64,2,21.95022416,0.20266667,0.059162676
1.02E-07,2.73E-05,0.25,4,256,3,66.10662913,0.20033333,0.092109838
2.05E-06,0.08811158,0.15,4,128,5,87.03836751,0.195333337,0.040450245
7.15E-07,0.011119861,0.45,32,128,2,50.36348438,0.194999998,0.032782108
0.012532199,0.005178789,0.3,32,128,6,97.64665794,0.193666667,0.026398657
1.87E-05,1.97E-07,0.25,8,256,2,91.28687406,0.190666671,0.059695528
0.009100348,0.00021536,0.45,32,128,3,94.8522656,0.190333337,0.017307671
0.000512955,0.694724637,0.15,4,64,3,24.28571701,0.189000003,0.095791443
2.61E-05,3.18E-06,0.3,4,256,3,202.0750711,0.187666665,0.008730533
0.000474747,0.233118783,0.1,32,128,5,99.71710134,0.185999999,0.060833104
